?item	?itemLabel
Q1337469	William Howard, 1st Baron Howard of Effingham
Q13377499	Richard Gardner
Q13426124	Aretas Akers-Douglas, 1st Viscount Chilston
Q13426377	John Coke
Q13428446	Aeneas Alexander Mackay
Q1342999	Enguerrand VII, Lord of Coucy
Q13441368	Stanley Johnson
Q1344706	William Thomas
Q1346298	Eoin MacNeill
Q1346375	Robert Torrens
Q1346720	Thomas Chandler Haliburton
Q134982	David Lloyd George
Q13502830	Heneage Finch
Q1351076	Eric Bailey
Q13512831	Lawrence Dundas, 3rd Marquess of Zetland
Q1351767	James Borwick, 5th Baron Borwick
Q13522529	Simeon Steward
Q1352291	Michael de la Pole, 2nd Earl of Suffolk
Q13529737	Vyvyan Adams
Q13529752	James Allason
Q13529771	Reginald Applin
Q13529783	Wilfrid Ashley, 1st Baron Mount Temple
Q13529787	Jack Aspinwall
Q13529838	Harry Barnston
Q13529846	Brian Batsford
Q13529848	Anthony Beaumont-Dark
Q13529849	Nicholas Bennett
Q13529850	Thomas Jewell Bennett
Q13529851	John Blackburn
Q13529852	Henry Langton Brackenbury
Q13529853	Ian Bruce
Q13529854	Henry Brudenell-Bruce, 5th Marquess of Ailesbury
Q13529856	Henry Buckingham
Q13529858	Henry Butler-Johnstone
Q13529860	Alexander Henry Campbell
Q13529861	Robert Carden
Q13529862	William Carlile
Q13529863	William Compton Carr
Q13529864	Sir Robert Cary, 1st Baronet
Q13529870	Judith Chaplin
Q13529872	Hugh Cholmondeley, 2nd Baron Delamere
Q13529873	Michael Clark
Q13529874	Sir Edward Coates, 1st Baronet
Q13529877	Henry Cockayne-Cust
Q13529878	John Cockcroft
Q13529880	Jack Cohen
Q13529884	William Craven-Ellis
Q13529886	William Cross
Q13529887	Oliver Crosthwaite-Eyre
Q13529889	Knox Cunningham
Q13529890	Philip Hugh Dalbiac
Q13529891	John Butcher, 1st Baron Danesfort
Q13529892	John Dugdale
Q13529893	John Dumphreys
Q13529894	James Malcolm Monteith Erskine
Q13529896	William Feilden
Q13529900	Nigel Forman
Q13529901	Ian Fraser, Baron Fraser of Lonsdale
Q13529902	Francis Edward Fremantle
Q13529903	Muriel Gammans
Q13529904	Ernest Gardner
Q13529905	Charles Samuel Garland
Q13529906	John Gathorne-Hardy, 2nd Earl of Cranbrook
Q13529907	Sir William Geary, 3rd Baronet
Q13529908	John Saunders Gilliat
Q13529909	Sir John Gilmour, 3rd Baronet
Q13529910	Ralph Glyn, 1st Baron Glyn
Q13529911	Victor Goodhew
Q13529912	John Gordon
Q13529913	William Gordon
Q13529914	Matthew Banks
Q13529916	Harry Greenway
Q13529917	Harry Greer
Q13529919	James Grimble Groves
Q13529920	Harold Gurden
Q13529921	Lawrence Palk, 1st Baron Haldon
Q13529922	Sir George Hamilton, 1st Baronet
Q13529924	Denis Augustine Hanley
Q13529925	Ian Hannah
Q13529926	Patrick Hannon
Q13529927	George Harcourt
Q13529928	Francis Capel Harrison
Q13529929	Henry Harrison-Broadley
Q13529930	Sir William Hart Dyke, 7th Baronet
Q13529931	John Haslam
Q13529933	Robert Henderson
Q13529935	John Herbert
Q13529937	Hugh Seymour, 6th Marquess of Hertford
Q13529938	Lord Augustus Hervey
Q13529939	Thomas Hewlett
Q13529941	Charles Frederick Higham
Q13529942	Edward Brodie Hoare
Q13529945	Thomas Horsfall
Q13529946	Joseph Hoult
Q13529950	Henry Hunloke
Q13529951	Michael Irvine
Q13529953	Tim Janman
Q13529954	Howard Johnson
Q13529955	Hylton Jolliffe, 3rd Baron Hylton
Q13529957	John Kerans
Q13529958	Henry Kerby
Q13529959	John Kerr
Q13529961	Henry Newton Knights
Q13529962	John Laird
Q13529963	Joseph Lamb
Q13529965	Joseph Lawrence
Q13529967	John Lees-Jones
Q13529968	Harry Legge-Bourke
Q13529970	Mark Lennox-Boyd
Q13529973	Godfrey Locker-Lampson
Q13529974	Richard Long, 3rd Viscount Long
Q13529976	Malcolm Low
Q13529977	John Lowles
Q13529978	Hugh Lucas-Tooth
Q13529979	Charles MacAndrew, 1st Baron MacAndrew
Q13529980	Ian MacArthur
Q13529984	Sir Harry Mallaby-Deeley, 1st Baronet
Q13529986	Lord George Manners
Q13529987	Lord Cecil Manners
Q13529988	Paul Marland
Q13529989	Michael Mates
Q13529991	Forster Alleyne McGeachy
Q13529992	Richard Meller
Q13529993	Sir Frank Meyer, 2nd Baronet
Q13529994	Iain Mills
Q13529996	Victor Milward
Q13529997	Hugh Molson, Baron Molson
Q13529998	John Elsdale Molson
Q13529999	Sir Philip Muntz, 1st Baronet
Q13530001	John Macnamara
Q13530002	Sir Joseph Nall, 1st Baronet
Q13530004	Percy Newson
Q13530007	William Newzam Nicholson
Q13530008	Robert Nisbet-Hamilton
Q13530009	Gerard Noel
Q13530011	John James Oddy
Q13530012	Phillip Oppenheim
Q13530013	Ian Orr-Ewing, Baron Orr-Ewing
Q13530014	James Francis Oswald
Q13530016	Norman Pannell
Q13530019	Elizabeth Peacock
Q13530020	Charles Pearson, Lord Pearson
Q13530021	Thomas Pemberton Leigh, 1st Baron Kingsdown
Q13530022	John Penn
Q13530024	James Pitman
Q13530025	Ernest Pollock, 1st Viscount Hanworth
Q13530027	Alexander Ramsay
Q13530028	Gervais Rentoul
Q13530029	James Rentoul
Q13530031	Marion Roe
Q13530033	William Anderson Rose
Q13530034	Lionel Nathan de Rothschild
Q13530035	Percy Royds
Q13530036	Hamer Field Russell
Q13530037	Marcus Reginald Anthony Samuel
Q13530038	Samuel Samuel
Q13530040	James Scott-Hopkins
Q13530041	Harold Smith
Q13530042	Henry Spence
Q13530045	Patrick Spens, 1st Baron Spens
Q13530046	Ivor Stanbrook
Q13530047	Marshall Stevens
Q13530048	Harold Macdonald Steward
Q13530049	John Stradling Thomas
Q13530050	Henry Stuart
Q13530051	Sir Henry Studholme, 1st Baronet
Q13530052	Peter Sturrock
Q13530053	Harold Sutcliffe
Q13530055	John Ellis Talbot
Q13530057	Thomas Tickler
Q13530058	John Tilney
Q13530060	Michael Trend
Q13530061	John Vaughan-Morgan, Baron Reigate
Q13530063	Harry Spencer Waddington
Q13530064	Jonah Walker-Smith
Q13530066	Sir Charles Welby, 5th Baronet
Q13530067	John Wells
Q13530069	John Wheeler
Q13530070	John Whitfield
Q13530071	Henry Wickham Wickham
Q13530072	Jerry Wiggin
Q13530073	Sir Henry Wilmot, 5th Baronet
Q13530074	Nicholas Wood
Q13530075	John Woollam
Q13530076	Norman Wylie, Lord Wylie
Q13530077	Henry Wyndham
Q13530078	Sir William Younger, 1st Baronet, of Auchen Castle
Q13533665	James Francis Hogan
Q1355040	Sir George Cockburn, 10th Baronet
Q1356246	Ernest Blythe
Q13581086	John St Aubyn, 1st Baron St Levan
Q13582499	Henry Howard, 18th Earl of Suffolk
Q13592719	Sir James Horlick, 4th Baronet
Q13634344	Eric Sharp, Baron Sharp of Grimsdyke
Q13638926	James Lindsay, 3rd Baron Lindsay of Birker
Q1364848	George Grote
Q13648762	Michael Lindsay, 2nd Baron Lindsay of Birker
Q1367954	Esmé Stewart, 2nd Duke of Richmond
Q1369396	Robert Steuart
Q137106	Howard Florey
Q1372065	Euan Geddes, 3rd Baron Geddes
Q1372753	John Henry Gurney Sr.
Q1374545	Jeremy Hutchinson, Baron Hutchinson of Lullington
Q1377854	John Norreys
Q1379003	John McAllion
Q137911	Joyce Quin, Baroness Quin
Q137941	Meta Ramsay, Baroness Ramsay of Cartvale
Q137955	Donald Nicholls, Baron Nicholls of Birkenhead
Q1379995	Jeff Rooker, Baron Rooker
Q138192	Giles Radice, Baron Radice
Q138207	Vivien Stern, Baroness Stern
Q138409	Francis Walsingham
Q138559	William Bentinck
Q1386511	Ronald Munro Ferguson, 1st Viscount Novar
Q1387994	Michael Davitt
Q1396477	Ralph Hopton, 1st Baron Hopton
Q1398378	Henry Percy, 1st Earl of Northumberland
Q1398423	Terence MacSwiney
Q1398662	John de Mowbray, 4th Duke of Norfolk
Q140412	John Donne
Q1412195	Peter Gummer, Baron Chadlington
Q1415207	Reginald Hall
Q1416153	Murray Elder, Baron Elder
Q141753	William Roper
Q1418483	Geraint Howells
Q1418573	Fionán Lynch
Q1419462	Terence Boston, Baron Boston of Faversham
Q1422305	Richard Faulkner, Baron Faulkner of Worcester
Q1423814	Kathryn Parminter, Baroness Parminter
Q1424230	Ken Macdonald
Q1431407	James Howard, 3rd Earl of Suffolk
Q1431726	Roger Manners, 5th Earl of Rutland
Q1434420	John Monson, 11th Baron Monson
Q1439512	Michael de la Pole, 3rd Earl of Suffolk
Q1439961	Alexander Lloyd, 2nd Baron Lloyd
Q14409305	Nicholas Biddulph, 5th Baron Biddulph
Q1441538	Francis Goldsmid
Q1441549	Francis Howard, 5th Baron Howard of Effingham
Q1441667	Francis Newdegate
Q1441726	Francis Seymour, 1st Baron Seymour of Trowbridge
Q1442056	John Hunt, Baron Hunt of Tanworth
Q1442504	Algar Orde-Powlett, 7th Baron Bolton
Q1443517	Frank Judd, Baron Judd
Q1443717	Frank Maguire
Q1445724	Thomas Wentworth, 1st Baron Wentworth
Q1446799	Gordon Richardson, Baron Richardson of Duntisbourne
Q14512072	John Hunt, Baron Hunt of Fawley
Q1452585	Henry Holland, 3rd Duke of Exeter
Q1452908	Frederick Hervey, 4th Earl of Bristol
Q1453008	Frederick Smith, 3rd Earl of Birkenhead
Q1453010	Frederick Smith, 2nd Earl of Birkenhead
Q14556956	Rumi Verjee
Q1458733	Philip Knights, Baron Knights
Q1474995	Ian Stewart, Baron Stewartby
Q1477728	Michael Morris, 3rd Baron Morris
Q14779282	William Hughes, Baron Hughes
Q1477948	Reginald Talbot
Q1482196	Bill Jordan, Baron Jordan
Q14899647	Rhys Lloyd, Baron Lloyd of Kilgerran
Q149062	Samuel Morton Peto
